,query_track_id,target_track_id,score,query_text,target_text
0,37632,QH4n7hFKMFicElM1,0.8021987676620483,Suite No 2 in C minor BWV 813_ Allemande by Katherine Roberts Perl from J.S. Bach French Suites,"Cello Suite No. 2 in D Minor, BWV 1008: II. Allemande by Johann Sebastian Bach from Six Evolutions - Bach: Cello Suites"
1,20869,sLBvvgK6yxWLGXPZ,0.804069459438324,You Belong by Lizzi from Love and you and I,I Belong to You by Jacob Lee from I Belong to You
2,20870,sLBvvgK6yxWLGXPZ,0.804069459438324,You Belong by Lizzi from Love and you and I,I Belong to You by Jacob Lee from I Belong to You
3,20871,sLBvvgK6yxWLGXPZ,0.804069459438324,You Belong by Lizzi from Love and you and I,I Belong to You by Jacob Lee from I Belong to You
4,20872,sLBvvgK6yxWLGXPZ,0.804069459438324,You Belong by Lizzi from Love and you and I,I Belong to You by Jacob Lee from I Belong to You
5,20873,sLBvvgK6yxWLGXPZ,0.804069459438324,You Belong by Lizzi from Love and you and I,I Belong to You by Jacob Lee from I Belong to You
6,20874,sLBvvgK6yxWLGXPZ,0.804069459438324,You Belong by Lizzi from Love and you and I,I Belong to You by Jacob Lee from I Belong to You
7,20878,sLBvvgK6yxWLGXPZ,0.804069459438324,You Belong by Lizzi from Love and you and I,I Belong to You by Jacob Lee from I Belong to You
8,6903,aBlQyka3d4iNf7Kq,0.8304544687271118,Dolphin's heart by Satori from Golden Dreams,Dolphin by Prince from The Gold Experience
9,2742,w6GN9nUvjemBlq8y,0.8129047155380249,Me by Lizzi from Love and you and I,You & Me by Marshmello from You & Me
10,2744,w6GN9nUvjemBlq8y,0.8129047155380249,Me by Lizzi from Love and you and I,You & Me by Marshmello from You & Me
11,2746,w6GN9nUvjemBlq8y,0.8129047155380249,Me by Lizzi from Love and you and I,You & Me by Marshmello from You & Me
12,2748,w6GN9nUvjemBlq8y,0.8129047155380249,Me by Lizzi from Love and you and I,You & Me by Marshmello from You & Me
13,2750,w6GN9nUvjemBlq8y,0.8129047155380249,Me by Lizzi from Love and you and I,You & Me by Marshmello from You & Me
14,13028,dymn4KJ6TtUuiKcZ,0.8019543290138245,Forever by Lizzi from Love and you and I,All My Love to You by Janet Jackson from Dream Street
15,13030,dymn4KJ6TtUuiKcZ,0.8019543290138245,Forever by Lizzi from Love and you and I,All My Love to You by Janet Jackson from Dream Street
16,18927,36EN1eHbXcM3uFqb,0.8136486411094666,Paper Dolls by Lisa DeBenedictis from Fruitless,Paper Doll by Lauren Martinez from Paper Doll
17,18928,36EN1eHbXcM3uFqb,0.8136486411094666,Paper Dolls by Lisa DeBenedictis from Fruitless,Paper Doll by Lauren Martinez from Paper Doll
18,18929,36EN1eHbXcM3uFqb,0.8136486411094666,Paper Dolls by Lisa DeBenedictis from Fruitless,Paper Doll by Lauren Martinez from Paper Doll
19,18931,36EN1eHbXcM3uFqb,0.8136486411094666,Paper Dolls by Lisa DeBenedictis from Fruitless,Paper Doll by Lauren Martinez from Paper Doll
20,18932,36EN1eHbXcM3uFqb,0.8136486411094666,Paper Dolls by Lisa DeBenedictis from Fruitless,Paper Doll by Lauren Martinez from Paper Doll
21,18933,36EN1eHbXcM3uFqb,0.8136486411094666,Paper Dolls by Lisa DeBenedictis from Fruitless,Paper Doll by Lauren Martinez from Paper Doll
22,18934,36EN1eHbXcM3uFqb,0.8136486411094666,Paper Dolls by Lisa DeBenedictis from Fruitless,Paper Doll by Lauren Martinez from Paper Doll
23,6902,aBlQyka3d4iNf7Kq,0.8304544687271118,Dolphin's heart by Satori from Golden Dreams,Dolphin by Prince from The Gold Experience
24,37624,QH4n7hFKMFicElM1,0.8021987676620483,Suite No 2 in C minor BWV 813_ Allemande by Katherine Roberts Perl from J.S. Bach French Suites,"Cello Suite No. 2 in D Minor, BWV 1008: II. Allemande by Johann Sebastian Bach from Six Evolutions - Bach: Cello Suites"
25,37625,QH4n7hFKMFicElM1,0.8021987676620483,Suite No 2 in C minor BWV 813_ Allemande by Katherine Roberts Perl from J.S. Bach French Suites,"Cello Suite No. 2 in D Minor, BWV 1008: II. Allemande by Johann Sebastian Bach from Six Evolutions - Bach: Cello Suites"
26,37626,QH4n7hFKMFicElM1,0.8021987676620483,Suite No 2 in C minor BWV 813_ Allemande by Katherine Roberts Perl from J.S. Bach French Suites,"Cello Suite No. 2 in D Minor, BWV 1008: II. Allemande by Johann Sebastian Bach from Six Evolutions - Bach: Cello Suites"
27,6907,aBlQyka3d4iNf7Kq,0.8304544687271118,Dolphin's heart by Satori from Golden Dreams,Dolphin by Prince from The Gold Experience
28,37628,QH4n7hFKMFicElM1,0.8021987676620483,Suite No 2 in C minor BWV 813_ Allemande by Katherine Roberts Perl from J.S. Bach French Suites,"Cello Suite No. 2 in D Minor, BWV 1008: II. Allemande by Johann Sebastian Bach from Six Evolutions - Bach: Cello Suites"
29,37630,QH4n7hFKMFicElM1,0.8021987676620483,Suite No 2 in C minor BWV 813_ Allemande by Katherine Roberts Perl from J.S. Bach French Suites,"Cello Suite No. 2 in D Minor, BWV 1008: II. Allemande by Johann Sebastian Bach from Six Evolutions - Bach: Cello Suites"
30,37631,QH4n7hFKMFicElM1,0.8021987676620483,Suite No 2 in C minor BWV 813_ Allemande by Katherine Roberts Perl from J.S. Bach French Suites,"Cello Suite No. 2 in D Minor, BWV 1008: II. Allemande by Johann Sebastian Bach from Six Evolutions - Bach: Cello Suites"
